"DriveNum","x","y","v","xped","yped","crash","rt","Rtotal"
28,9,5,1,0,-1,0,52.72958773604466,1641.8725835216162
28,9,11,2,0,5,0,55.753490886565345,1641.8725835216162
28,9,28,3,0,4,0,1641.8725835216162,1641.8725835216162
29,5,-99,4,-4,0,0,3.0239031505206873,6794.79930869569
29,1,-81,3,0,0,0,6.607422088976797,6794.79930869569
29,1,-68,2,4,-5,0,11.577235388552797,6794.79930869569
29,5,-65,1,3,-2,0,16.547048688128797,6794.79930869569
29,8,-62,1,1,0,0,19.21427689471075,6794.79930869569
29,9,-57,1,-5,2,0,6794.79930869569,6794.79930869569
30,5,-99,4,4,0,0,2.330755969960742,4753.76150814548
30,9,-79,4,-4,0,0,6.607422088976797,4753.76150814548
30,5,-61,3,0,2,0,10.884088207992853,4753.76150814548
30,5,-46,2,0,1,0,15.16075432700891,4753.76150814548
30,5,-37,1,-2,-2,0,4753.76150814548,4753.76150814548
31,5,-99,4,-4,0,0,3.0239031505206873,5570.587126532764
31,1,-81,3,0,-5,0,7.300569269536743,5570.587126532764
31,1,-73,2,3,5,0,12.270382569112744,5570.587126532764
31,4,-60,1,3,4,0,17.240195868688744,5570.587126532764
31,7,-51,1,2,-1,0,20.823714807144853,5570.587126532764
31,9,-47,1,-3,-3,0,25.793528106720853,5570.587126532764
31,6,-45,1,-5,-3,0,5570.587126532764,5570.587126532764
32,5,-99,4,2,0,0,3.0239031505206873,2089.7525709890265
32,7,-79,4,2,-3,0,6.607422088976797,2089.7525709890265
32,9,-62,4,-1,5,0,11.577235388552797,2089.7525709890265
32,8,-37,4,-2,5,0,16.547048688128797,2089.7525709890265
32,6,-12,4,1,0,0,20.823714807144853,2089.7525709890265
32,7,8,4,2,1,0,24.407233745600962,2089.7525709890265
32,9,29,4,0,0,0,2089.7525709890265,2089.7525709890265
33,5,-99,4,4,0,0,2.330755969960742,3868.1401486232435
33,9,-79,4,0,-2,0,5.354659120481429,3868.1401486232435
33,9,-61,4,-5,-2,0,10.324472420057429,3868.1401486232435
33,4,-45,3,0,-2,0,14.601138539073485,3868.1401486232435
33,4,-34,2,1,-2,0,19.570951838649485,3868.1401486232435
33,5,-28,1,0,2,0,3868.1401486232435,3868.1401486232435
34,5,-99,4,0,3,0,4.276666119016055,1583.9091315357875
34,5,-78,3,3,-3,0,9.246479418592056,1583.9091315357875
34,8,-66,3,-3,0,0,13.523145537608112,1583.9091315357875
34,5,-53,2,4,-4,0,17.79981165662417,1583.9091315357875
34,9,-47,2,0,0,0,20.13056762658491,1583.9091315357875
34,9,-37,2,-1,-3,0,25.10038092616091,1583.9091315357875
34,8,-30,2,1,-1,0,28.46075631330281,1583.9091315357875
34,9,-21,2,0,5,0,31.484659463823498,1583.9091315357875
34,9,-6,2,-4,1,0,36.4544727633995,1583.9091315357875
34,5,2,1,4,0,0,40.03799170185561,1583.9091315357875
34,9,9,2,0,0,0,42.36874767181635,1583.9091315357875
34,9,21,3,0,1,0,1583.9091315357875,1583.9091315357875
35,5,-99,4,4,0,0,2.330755969960742,2292.5732338283105
35,9,-79,4,0,-1,0,5.354659120481429,2292.5732338283105
35,9,-60,4,0,-4,0,8.378562271002117,2292.5732338283105
35,9,-44,4,0,-5,0,11.402465421522805,2292.5732338283105
35,9,-29,4,0,0,0,13.733221391483546,2292.5732338283105
35,9,-9,4,0,4,0,16.757124542004235,2292.5732338283105
35,9,15,4,0,-4,0,2292.5732338283105,2292.5732338283105
36,5,-99,4,-4,0,0,3.0239031505206873,4876.007572276818
36,1,-81,3,-1,4,0,6.3842785376625875,4876.007572276818
36,0,-64,2,3,0,0,10.660944656678643,4876.007572276818
